Meal,Insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
0,25.04,100,11.4904878692928,14.4880064438909,1.27648595755267,1.28351083992507,0.0102114177320911,150.261476044193,146.523143945881,58
0,25.04,100,11.2460094039887,14.424229452942,1.27585912462871,1.28336137434268,0.0102133789448469,150.944919108826,147.270810365544,59
0,25.04,100,11.0067326081591,14.3566077497728,1.2752450842134,1.28320175200834,0.0102153065356326,151.614220173578,148.0056321142,60
0,25.04,100,10.7725468079855,14.2853338105895,1.27464357523514,1.28303246120419,0.0102171999887823,152.269233903409,148.727349726076,61
0,25.04,100,10.5433436844114,14.210593661598,1.27405434195032,1.28285397426868,0.0102190588360202,152.909833182452,149.435726561542,62
0,25.04,100,10.3190172230409,14.1325670663387,1.27347713383457,1.28266674804914,0.0102208826545891,153.535908337631,150.130547885724,63
0,25.04,100,10.0994636651039,14.0514277079706,1.27291170547628,1.28247122434245,0.0102226710654379,154.147366387516,150.811619976105,64
0,25.04,100,9.88458145946338,13.967343366633,1.27235781647225,1.28226783032402,0.0102244237314663,154.744130315716,151.478769258388,65
0,25.04,100,9.67427121564501,13.8804760920124,1.27181523132544,1.28205697896547,0.0102261403558244,155.326138368103,152.131841469853,66
0,25.04,100,9.46843565786533,13.7909823712386,1.27128371934489,1.28183906944122,0.0102278206802667,155.89334337321,152.770700849503,67
0,25.04,100,9.26697958003841,13.6990132922307,1.27076305454762,1.28161448752427,0.0102294644835581,156.445712085117,153.395229354245,68
0,25.04,100,9.06980980173972,13.6047147026096,1.27025301556254,1.28138360597158,0.0102310715799312,156.983224548209,154.005325900419,69
0,25.04,100,8.87683512510696,13.5082273642932,1.26975338553634,1.28114678489904,0.0102326418175926,157.505873483164,154.600905629977,70
0,25.04,100,8.68796629265787,13.409687103885,1.26926395204128,1.28090437214665,0.0102341750772776,158.013663693575,155.181899200614,71
0,25.04,100,8.50311594600558,13.3092249589653,1.2687845069849,1.28065670363377,0.0102356712708509,158.506611492599,155.748252099206,72
0,25.04,100,8.32219858545226,13.2069673203916,1.26831484652151,1.28040410370507,0.0102371303399539,158.984744149073,156.299923977885,73
0,25.04,100,8.14513053044264,13.1030360707121,1.26785477096553,1.28014688546712,0.0102385522546945,159.448099352522,156.836888012123,74
0,25.04,100,7.97182988085876,12.9975487187915,1.26740408470661,1.27988535111602,0.010239937012381,159.896724696515,157.359130280202,75
0,25.04,100,7.80221647913836,12.8906185307503,1.26696259612645,1.27961979225625,0.0102412846362965,160.330677179846,157.866649163465,76
0,25.04,100,7.63621187319924,12.7823546573118,1.26653011751731,1.27935049021093,0.0102425951745149,160.750022725002,158.359454766741,77
