Meal_size,Steady_insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
10,25.04,100,1.0022673009915,2.30799293192072,1.24689223120443,1.24823793146115,0.0101108678755931,122.994405349147,122.878187632447,108
10,25.04,100,1.00013481737237,2.30521479228045,1.24688994327193,1.24823506826911,0.0101108677265245,122.995398139878,122.880511986781,108.1
10,25.04,100,0.998006870952426,2.30243802637639,1.24688766000868,1.24823220630104,0.0101108675530306,122.99636634685,122.882809709843,108.2
10,25.04,100,0.99588345207806,2.29966264093932,1.24688538140514,1.24822934556424,0.0101108673551477,122.997310012181,122.885080842583,108.3
10,25.04,100,0.993764551116192,2.29688864266514,1.24688310745183,1.24822648606603,0.0101108671329122,122.998229177993,122.887325425975,108.4
10,25.04,100,0.991650158454242,2.29411603821504,1.24688083813923,1.24822362781366,0.0101108668863607,122.999123886413,122.889543501015,108.5
10,25.04,100,0.989540264500084,2.29134483421555,1.24687857345788,1.24822077081435,0.0101108666155296,122.99999417957,122.891735108723,108.6
10,25.04,100,0.987434859681999,2.28857503725871,1.24687631339833,1.2482179150753,0.0101108663204553,123.000840099597,122.89390029014,108.7
10,25.04,100,0.985333934448633,2.28580665390216,1.24687405795115,1.24821506060364,0.0101108660011745,123.001661688631,122.896039086329,108.8
10,25.04,100,0.983237479268955,2.28303969066928,1.24687180710692,1.24821220740651,0.0101108656577236,123.002458988812,122.898151538375,108.9
10,25.04,100,0.981145484632213,2.28027415404928,1.24686956085625,1.24820935549098,0.0101108652901392,123.003232042282,122.900237687384,109
10,25.04,100,0.979057941047889,2.27751005049733,1.24686731918976,1.2482065048641,0.0101108648984579,123.003980891184,122.902297574482,109.1
10,25.04,100,0.976974839045659,2.27474738643467,1.24686508209811,1.24820365553288,0.0101108644827163,123.004705577664,122.904331240816,109.2
10,25.04,100,0.974896169175349,2.27198616824874,1.24686284957194,1.24820080750429,0.010110864042951,123.005406143871,122.906338727553,109.3
10,25.04,100,0.972821922006891,2.26922640229326,1.24686062160196,1.24819796078529,0.0101108635791987,123.006082631954,122.908320075879,109.4
